                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99947,                 2.6549,                 1.0567,                0.41341,                0.51442,                0.32251,                0.22719,                 1.1519,                 52.778,                 1.3279,             0.00026672,             0.00026672,             0.00026672
                      2,                 1.0565,                 1.1771,                 1.0789,                0.00584,                0.28365,                0.00433,                0.00279,                    nan,                    nan,                    nan,             0.00054739,             0.00054739,             0.00054739
                      3,                 1.0874,                  1.188,                 1.0708,                0.00584,                0.28365,                0.00433,                0.00279,                    nan,                    nan,                    nan,             0.00082525,             0.00082525,             0.00082525
                      4,                 1.1635,                 1.1943,                 1.1985,                0.00584,                0.28365,                0.00433,                0.00279,                    nan,                    nan,                    nan,              0.0011003,              0.0011003,              0.0011003
                      5,                 1.1099,                 1.1272,                 1.1303,                0.00012,                0.03125,                  6e-05,                  4e-05,                    nan,                    nan,                    nan,              0.0013726,              0.0013726,              0.0013726
                      6,                 1.2151,                 1.1514,                 1.1911,                0.00905,                0.38221,                0.00597,                0.00268,                 2.4274,                    inf,                  53.93,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.2305,                 1.1948,                 1.2066,                0.00012,                0.00962,                  7e-05,                  1e-05,                 3.7517,                 7.5846,                 5.7416,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1383,                0.99464,                 1.1544,                 0.0054,                 0.1851,                 0.0029,                0.00172,                 2.2272,                 71.606,                 3.1026,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1386,                0.96972,                 1.1779,                0.57264,                0.05769,                0.03489,                 0.0239,                 1.7719,                 9.9786,                 1.7796,               0.001601,               0.001601,               0.001601
                     10,                 1.1382,                0.94977,                 1.1582,                0.53473,                0.21154,                0.22123,                0.12688,                 1.9799,                  2.609,                 1.7425,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.0968,                0.87347,                 1.1324,                0.48621,                0.39025,                 0.3108,                0.18424,                  1.391,                 4.2458,                  1.464,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0718,                0.89141,                 1.1229,                0.36498,                0.56971,                0.41421,                0.25058,                 1.1961,                 3.9373,                 1.2803,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0504,                0.82357,                 1.1015,                0.57119,                0.61213,                 0.5857,                0.42683,                  1.081,                 1.4757,                 1.2063,               0.001568,               0.001568,               0.001568
                     14,                 1.0013,                0.73749,                 1.0924,                0.63383,                0.68977,                0.69384,                0.47193,                  1.162,                 1.5432,                   1.25,              0.0015597,              0.0015597,              0.0015597
                     15,                0.99523,                0.75158,                 1.0556,                0.65278,                0.67235,                 0.6447,                0.42038,                 1.1803,                 1.4402,                 1.1785,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0044,                0.75442,                 1.0767,                0.69553,                0.66315,                0.63542,                0.40441,                 1.0217,                 2.1343,                 1.1689,              0.0015432,              0.0015432,              0.0015432
                     17,                0.96808,                0.70078,                 1.0617,                0.56788,                 0.6926,                0.56574,                0.38629,                 1.0646,                   1.53,                 1.1514,               0.001535,               0.001535,               0.001535
                     18,                0.96314,                0.70117,                 1.0653,                0.69992,                0.59856,                0.62011,                0.39441,                 1.0731,                 1.4261,                 1.1666,              0.0015267,              0.0015267,              0.0015267
                     19,                0.92641,                0.66098,                 1.0261,                0.71748,                0.56971,                0.60276,                0.39801,                 1.0747,                 1.2446,                 1.1748,              0.0015185,              0.0015185,              0.0015185
                     20,                0.91876,                0.64409,                 1.0226,                0.75028,                0.70192,                0.68784,                0.48298,                 1.0823,                 1.0594,                 1.1725,              0.0015102,              0.0015102,              0.0015102
                     21,                0.95595,                0.65192,                  1.048,                0.83066,                0.67867,                0.70724,                0.51774,                 1.0604,                 1.0496,                 1.1387,               0.001502,               0.001502,               0.001502
                     22,                 0.8763,                0.63088,                 1.0308,                0.79557,                0.69953,                0.71946,                0.48415,                 1.1222,                 0.9366,                 1.1982,              0.0014937,              0.0014937,              0.0014937
                     23,                0.91062,                0.62129,                 1.0189,                0.83348,                0.71875,                0.74388,                0.52061,                 1.0417,                0.81737,                 1.1496,              0.0014855,              0.0014855,              0.0014855
                     24,                0.86238,                0.58558,                 1.0037,                0.73555,                0.74452,                0.71246,                0.50426,                 1.0758,                0.83693,                 1.1946,              0.0014772,              0.0014772,              0.0014772
